# Stock Data
# Symbol,Company,Price

TER, Teradyne, 323.92, 306.35, 300.20, 277.82, 255.01
SNDK, Sandisk Corporation, 607.86, 643.72, 579.94, 617.70, 571.54
LVS, Las Vegas Sands, 57.75, 55.07, 50.97, 49.44, 45.33
WYNN, Wynn Resorts, 115.18, 104.35, 107.25, 109.22, 115.49
TFC, Truist Financial, 54.42, 50.79, 47.66, 45.03, 43.76
TSLA, Tesla Inc., 426.52, 380.16, 393.63, 417.19, 428.07
GLW, Corning Inc., 134.16, 121.82, 133.66, 143.39, 143.81
CDW, CDW, 135.32, 137.15, 125.71, 118.37, 115.69
BBY, Best Buy, 66.84, 72.09, 75.35, 82.25, 75.15
UHS, Universal Health Services, 231.22, 252.52, 270.79, 247.12, 239.85
CEG, Constellation Energy, 274.37, 252.24, 279.90, 296.88, 309.05
HON, Honeywell, 243.56, 224.31, 215.47, 198.07, 194.28
ABBV, AbbVie, 220.17, 200.04, 215.10, 219.92, 238.63
WMB, Williams Companies, 71.48, 66.61, 66.75, 65.06, 60.71
IQV, IQVIA, 175.80, 174.59, 182.94, 187.86, 177.95
DGX, Quest Diagnostics, 209.53, 224.80, 204.11, 202.58, 185.97
EIX, Edison International, 66.94, 71.24, 70.80, 65.64, 66.07
XOM, ExxonMobil, 155.28, 147.22, 142.79, 141.08, 129.29
POOL, Pool Corporation, 270.70, 254.68, 244.13, 221.34, 209.87
RCL, Royal Caribbean Group, 331.76, 334.22, 322.05, 314.87, 333.64
HPE, Hewlett Packard Enterprise, 23.62, 22.58, 23.93, 25.30, 24.54
WMT, Walmart, 128.75, 135.02, 141.36, 147.65, 138.53
BA, Boeing, 236.98, 250.04, 264.74, 252.10, 269.57
TGT, Target Corporation, 114.12, 104.13, 105.32, 94.79, 102.94
A, Agilent Technologies, 128.22, 138.53, 141.71, 150.40, 166.34
NDAQ, Nasdaq Inc., 81.05, 74.71, 75.00, 68.00, 70.53
C, Citigroup, 117.93, 120.84, 131.07, 143.52, 151.71
D, Dominion Energy, 64.61, 62.22, 62.93, 61.00, 66.64
DHI, D. R. Horton, 163.35, 156.29, 146.09, 133.16, 146.27
