# Stock Data
# Symbol,Company,Price

TER, Teradyne, 323.92, 317.33, 328.19, 344.08, 316.53, 284.46, 303.17, 286.56, 299.91, 293.17, 322.74, 347.77, 355.50, 347.00, 376.54, 415.39, 419.51, 380.95, 407.15, 424.95, 468.32, 509.93, 540.37, 596.79, 662.22, 711.86, 759.97, 757.62, 784.05, 732.97, 792.20, 709.61, 691.99, 670.28, 713.02, 752.04, 698.93, 667.29, 735.16, 815.94, 832.77, 820.76, 774.81, 813.52, 731.81, 783.21, 848.34, 895.26, 877.84, 911.95, 893.31, 975.19, 998.15, 891.51, 898.69, 967.58, 984.28, 946.24, 934.86, 858.72, 943.26, 878.89, 942.70, 997.48, 1090.95, 1205.05, 1085.17, 1009.09, 913.62, 917.71, 895.00, 981.72, 966.82, 1015.51, 921.61, 931.15, 888.15, 880.27, 954.10, 891.66, 839.23, 750.70, 814.22, 834.81, 909.96, 815.59, 866.94, 887.00, 917.96, 868.35, 807.07, 776.90, 725.92, 776.85, 774.91, 699.67, 730.64, 752.36, 817.25, 827.68, 791.01, 851.21, 907.86, 955.27, 883.70, 883.98, 909.79, 941.49, 866.24, 935.13, 837.60, 800.15, 718.81, 684.44, 685.63, 632.29, 652.76, 642.73, 659.07, 625.39
SNDK, Sandisk Corporation, 607.86, 644.47, 669.59, 601.74, 624.25, 620.17, 595.53, 587.96, 649.57, 678.28, 662.61, 636.31, 586.92, 554.64, 591.58, 635.30, 637.86, 641.58, 699.05, 698.95, 696.43, 682.53, 633.97, 657.63, 593.68, 565.48, 542.54, 541.68, 570.87, 541.01, 553.05, 545.65, 487.43, 537.94, 521.31, 495.43, 546.80, 545.03, 547.38, 600.54, 656.77, 721.46, 665.68, 658.93, 637.70, 647.89, 620.83, 628.04, 643.82, 590.18, 530.23, 486.20, 466.85, 444.06, 425.37, 408.54, 379.29, 385.71, 392.34, 351.51, 365.21, 353.61, 329.48, 318.66, 290.40, 282.58, 304.79, 304.11, 304.52, 289.90, 320.17, 311.59, 292.81, 272.34, 282.15, 296.62, 291.44, 267.13, 280.16, 270.36, 271.82, 285.62, 297.21, 314.82, 331.11, 305.78, 302.66, 324.16, 350.68, 324.93, 327.96, 335.57, 371.39, 383.46, 417.30, 433.05, 434.08, 397.20, 418.84, 403.03, 444.37, 429.77, 469.00, 422.70, 377.82, 403.17, 426.22, 424.80, 396.60, 363.51, 355.90, 358.24, 389.66, 416.51, 415.39, 400.89, 419.29, 423.79, 457.42, 430.12
LVS, Las Vegas Sands, 57.75, 61.14, 56.64, 56.34, 59.94, 65.71, 64.00, 67.50, 70.45, 69.16, 61.91, 61.52, 60.94, 58.88, 60.40, 56.23, 57.96, 58.35, 52.27, 51.80, 54.34, 53.95, 59.10, 63.10, 58.03, 55.57, 54.40, 56.21, 55.45, 50.29, 51.19, 48.46, 44.33, 42.54, 43.16, 43.45, 39.74, 40.73, 39.75, 41.02, 38.31, 39.23, 35.74, 33.90, 35.87, 36.84, 37.23, 33.19, 31.97, 31.02, 33.79, 33.49, 29.92, 30.49, 29.83, 28.03, 27.36, 28.18, 30.50, 29.68, 27.62, 26.46, 28.21, 29.15, 28.80, 26.78, 24.63, 25.49, 27.97, 25.98, 23.33, 24.22, 24.28, 22.73, 21.06, 19.57, 20.60, 20.65, 22.69, 24.83, 23.23, 25.60, 24.93, 24.16, 25.61, 28.02, 25.99, 24.51, 23.46, 24.99, 26.15, 28.45, 26.91, 25.32, 24.30, 26.45, 24.52, 26.40, 24.94, 25.28, 25.50, 27.91, 28.61, 25.85, 25.25, 24.02, 23.48, 24.08, 26.48, 26.09, 24.95, 22.73, 23.16, 23.10, 24.12, 26.12, 24.19, 22.88, 21.09, 22.43
WYNN, Wynn Resorts, 115.18, 118.72, 109.74, 108.27, 106.14, 101.87, 91.14, 84.60, 81.67, 76.13, 76.78, 69.68, 71.09, 64.01, 67.68, 73.83, 78.03, 85.56, 81.73, 78.03, 73.63, 73.45, 76.30, 74.50, 72.45, 75.55, 69.20, 64.12, 71.11, 72.56, 71.96, 64.46, 59.08, 64.63, 57.94, 55.72, 50.53, 49.77, 48.52, 48.41, 51.98, 48.92, 48.16, 51.10, 51.01, 46.09, 41.84, 46.26, 45.33, 46.51, 49.92, 54.86, 56.28, 52.22, 47.20, 48.36, 48.61, 53.77, 52.79, 54.28, 51.04, 49.99, 47.70, 51.10, 48.10, 51.38, 47.10, 52.15, 51.17, 48.76, 49.25, 52.63, 53.65, 54.11, 53.46, 51.57, 47.05, 49.59, 51.82, 53.54, 55.34, 50.71, 52.67, 56.52, 56.18, 60.58, 63.08, 61.15, 65.46, 64.49, 68.46, 73.28, 67.64, 70.93, 78.42, 85.03, 76.19, 70.93, 73.79, 74.56, 77.90, 85.06, 77.93, 77.09, 72.62, 71.57, 73.07, 71.89, 70.90, 64.09, 67.51, 61.57, 56.43, 59.98, 56.72, 56.36, 55.39, 50.58, 54.37, 55.53
TFC, Truist Financial, 54.42, 51.96, 49.37, 52.97, 58.52, 64.93, 65.93, 71.20, 76.00, 81.99, 82.51, 75.81, 83.43, 85.01, 94.03, 101.33, 107.63, 103.67, 112.99, 111.42, 119.43, 128.83, 115.68, 119.61, 130.52, 127.08, 129.01, 122.76, 128.48, 139.06, 149.35, 137.03, 125.05, 135.71, 129.53, 117.49, 123.71, 112.29, 103.59, 103.98, 107.70, 117.36, 129.77, 128.65, 128.09, 115.01, 122.17, 118.25, 116.93, 118.61, 111.44, 100.19, 95.50, 85.48, 79.50, 75.21, 70.03, 73.34, 77.63, 70.27, 66.71, 63.83, 57.24, 54.89, 54.87, 60.13, 62.62, 60.46, 56.05, 59.13, 56.88, 59.23, 59.78, 53.96, 59.14, 58.32, 61.06, 66.85, 72.30, 77.93, 74.25, 74.10, 71.00, 63.79, 69.22, 69.39, 69.34, 63.33, 68.73, 67.53, 65.21, 67.01, 62.67, 64.74, 66.30, 71.29, 68.03, 61.40, 64.16, 65.81, 61.85, 66.33, 59.09, 60.98, 67.18, 74.07, 78.08, 79.10, 78.56, 82.11, 74.77, 70.70, 69.16, 74.47, 75.59, 81.92, 87.73, 80.06, 80.24, 73.72
TSLA, Tesla Inc., 426.52, 426.96, 405.02, 435.07, 473.73, 429.38, 392.08, 382.17, 405.75, 380.86, 367.94, 335.50, 342.97, 356.02, 366.43, 402.70, 386.12, 388.66, 421.93, 430.32, 472.93, 501.06, 463.39, 500.09, 477.08, 459.57, 473.07, 453.59, 466.76, 454.87, 412.50, 404.72, 381.60, 404.42, 379.74, 348.13, 315.59, 331.89, 321.80, 334.25, 344.93, 311.59, 338.26, 342.73, 311.65, 339.35, 352.69, 356.53, 336.19, 356.17, 333.37, 334.11, 324.81, 345.08, 318.63, 313.73, 311.34, 333.67, 324.35, 320.92, 294.24, 275.03, 263.82, 250.83, 246.94, 272.08, 286.25, 260.72, 270.70, 279.25, 269.22, 241.58, 217.42, 229.54, 206.76, 185.69, 173.50, 157.30, 158.83, 147.63, 152.64, 144.85, 141.00, 132.37, 123.62, 112.82, 113.49, 102.67, 113.55, 103.77, 109.97, 119.78, 110.64, 120.26, 118.73, 131.67, 132.72, 124.26, 117.22, 105.69, 103.48, 112.23, 111.53, 115.85, 111.47, 105.79, 109.19, 109.16, 97.50, 96.60, 98.17, 95.89, 85.78, 91.79, 85.14, 80.20, 81.67, 83.61, 89.95, 83.42
GLW, Corning Inc., 134.16, 142.96, 146.71, 140.02, 147.62, 162.70, 161.48, 145.92, 143.48, 129.25, 122.37, 128.55, 141.14, 136.94, 142.26, 138.71, 149.10, 136.10, 135.21, 143.22, 135.84, 131.37, 125.77, 114.19, 120.33, 127.23, 116.38, 110.47, 105.35, 109.95, 102.91, 92.84, 84.75, 88.21, 94.57, 104.56, 103.55, 113.41, 111.10, 113.45, 103.64, 99.54, 90.12, 85.36, 92.76, 96.55, 103.59, 103.09, 113.64, 112.84, 103.66, 100.39, 108.90, 97.70, 101.04, 111.97, 122.32, 115.79, 114.79, 118.56, 130.16, 126.73, 120.11, 124.94, 119.05, 129.91, 115.95, 110.98, 114.15, 115.54, 106.38, 103.28, 112.45, 105.88, 112.21, 113.10, 118.26, 119.90, 118.66, 116.10, 121.09, 132.84, 144.23, 138.56, 132.34, 139.18, 145.50, 141.71, 154.56, 152.21, 142.37, 137.51, 123.93, 119.66, 121.65, 112.60, 120.03, 120.69, 131.95, 136.41, 143.83, 140.23, 141.12, 140.84, 151.92, 145.60, 131.51, 128.17, 136.01, 130.82, 132.54, 135.54, 130.99, 131.84, 137.61, 151.60, 149.07, 144.11, 130.60, 134.28
CDW, CDW, 135.32, 135.15, 137.46, 125.31, 123.95, 128.59, 126.62, 134.96, 142.47, 136.68, 143.22, 148.44, 141.25, 135.86, 148.36, 146.13, 138.96, 132.58, 138.05, 127.03, 114.07, 112.80, 109.49, 112.37, 109.83, 97.90, 99.09, 89.80, 91.00, 100.04, 102.52, 95.26, 101.03, 103.80, 114.11, 102.32, 109.34, 119.42, 132.35, 144.83, 157.96, 165.87, 159.59, 164.53, 146.44, 135.39, 120.86, 126.29, 129.15, 132.23, 140.97, 130.93, 136.00, 129.50, 125.98, 127.72, 124.06, 116.63, 121.79, 110.82, 120.75, 128.54, 125.03, 123.27, 113.96, 119.43, 110.11, 112.46, 110.83, 105.48, 109.72, 119.70, 108.10, 101.74, 110.04, 113.80, 115.92, 118.85, 111.74, 103.04, 112.44, 115.64, 111.54, 117.50, 109.32, 113.70, 116.53, 117.62, 118.48, 129.53, 134.36, 127.25, 119.93, 132.11, 144.10, 149.72, 133.90, 148.15, 140.85, 145.04, 131.58, 126.91, 114.07, 119.57, 123.71, 112.03, 111.54, 105.15, 115.61, 119.20, 113.99, 117.80, 112.76, 119.40, 107.85, 111.95, 113.24, 116.11, 105.95, 101.08
BBY, Best Buy, 66.84, 73.79, 66.89, 65.40, 64.56, 60.52, 57.50, 51.41, 50.40, 54.47, 57.93, 60.55, 64.17, 66.33, 63.00, 59.89, 57.26, 63.05, 62.15, 66.54, 68.91, 70.08, 71.57, 77.06, 84.89, 80.70, 75.14, 73.92, 76.67, 69.59, 74.00, 79.56, 78.99, 87.50, 79.68, 73.77, 79.36, 78.07, 86.20, 88.30, 94.77, 93.09, 94.11, 97.80, 93.99, 98.12, 89.16, 96.34, 104.60, 99.27, 94.56, 89.32, 84.27, 85.16, 93.12, 101.55, 91.36, 82.32, 81.87, 89.03, 86.48, 84.65, 90.77, 85.20, 87.38, 83.75, 90.82, 99.89, 99.59, 90.37, 92.53, 82.92, 86.43, 85.47, 94.12, 100.65, 98.75, 106.26, 115.81, 104.85, 96.43, 100.85, 100.61, 101.43, 94.50, 86.64, 95.72, 99.14, 89.53, 82.17, 81.65, 75.24, 71.94, 77.25, 71.90, 78.01, 74.79, 68.46, 71.92, 67.18, 68.09, 73.28, 78.69, 85.29, 87.13, 94.91, 94.10, 96.74, 93.59, 92.60, 89.20, 85.79, 92.09, 97.71, 106.86, 101.33, 97.94, 106.14, 95.42, 97.07
UHS, Universal Health Services, 231.22, 208.71, 209.18, 209.10, 211.29, 189.01, 205.61, 207.41, 228.83, 253.86, 272.48, 288.52, 301.05, 324.94, 302.57, 307.44, 318.86, 318.33, 330.64, 325.71, 344.71, 329.21, 298.37, 292.96, 272.42, 262.62, 273.25, 273.83, 258.50, 242.21, 245.65, 267.35, 265.08, 262.72, 250.08, 257.60, 280.64, 263.32, 270.12, 246.11, 221.72, 218.28, 233.82, 258.78, 257.02, 264.99, 274.98, 304.69, 280.83, 265.57, 243.25, 246.60, 242.96, 223.86, 230.42, 250.77, 229.55, 245.66, 267.62, 264.13, 261.14, 261.17, 276.87, 264.09, 236.04, 248.49, 255.19, 238.20, 234.91, 214.36, 219.54, 204.91, 219.67, 223.36, 241.42, 253.45, 274.12, 250.69, 273.64, 251.55, 224.98, 225.28, 241.11, 215.35, 236.47, 259.29, 237.03, 211.15, 226.91, 208.15, 198.27, 209.59, 217.30, 236.74, 245.66, 222.16, 211.96, 217.50, 217.49, 232.11, 230.41, 255.40, 279.39, 267.59, 263.00, 267.99, 253.25, 275.41, 299.03, 320.27, 308.72, 331.61, 331.62, 326.16, 348.27, 313.91, 301.16, 284.21, 269.75, 279.28
